cust_id;acct_nbr;minimum_balance;per_check_fee;account_active;acct_start_date;acct_end_date;starting_balance;ending_balance
1363013;13630132;200;0.15;Y ;23.5.1995;NULL;281.62;14.54
1363095;13630952;100;0.15;Y ;20.10.1995;NULL;1242.77;187.99
1362605;13626052;200;0.15;Y ;21.5.1994;NULL;256.11;7.84
1362687;13626872;100;0.15;Y ;2.9.1989;NULL;139.66;194.38
1362727;13627272;200;0.15;Y ;21.4.1994;NULL;946.93;392.05
1362952;13629522;100;0.15;Y ;7.7.1994;NULL;1069.57;473.45
1363196;13631962;200;0.15;Y ;24.6.1993;NULL;456.54;521.66
1363421;13634212;3000;0.00;Y ;19.9.1988;NULL;2624.85;918.69
1363461;13634612;3000;0.00;Y ;4.3.1995;NULL;3144.44;1223.94
1362809;13628092;3000;0.00;Y ;31.1.1989;NULL;3199.27;1160.14
1362584;13625842;100;0.15;Y ;1.5.1995;NULL;119.01;12.50
1362931;13629312;3000;0.00;Y ;23.9.1993;NULL;5591.93;713.56
1363318;13633182;100;0.15;Y ;3.3.1995;NULL;102.33;89.49
1363400;13634002;100;0.15;Y ;17.8.1993;NULL;300.87;1824.79
1363175;13631752;200;0.15;Y ;26.3.1994;NULL;340.48;13.51
1362992;13629922;200;0.15;Y ;2.6.1995;NULL;272.23;5.85
1362767;13627672;200;0.15;Y ;21.2.1993;NULL;235.40;193.12
1362849;13628492;100;0.15;Y ;13.10.1991;NULL;173.86;3.98
1362563;13625632;100;0.15;N ;1.5.1992;15.5.1995;1025.99;490.56
1362645;13626452;100;0.15;Y ;18.6.1994;NULL;546.72;1195.54
1362746;13627462;100;0.15;Y ;23.8.1995;NULL;149.31;12.89
1362971;13629712;200;0.15;Y ;6.9.1995;NULL;3365.88;185.40
1363215;13632152;3000;0.00;Y ;21.8.1988;NULL;7673.23;4645.09
1363236;13632362;3000;0.00;Y ;4.10.1993;NULL;2977.65;52.80
1363011;13630112;3000;0.00;Y ;4.2.1990;NULL;12730.29;1615.18
1363297;13632972;200;0.15;Y ;5.3.1992;NULL;327.75;39.24
1363480;13634802;200;0.15;Y ;9.2.1995;NULL;2072.19;33.77
1363093;13630932;100;0.15;Y ;30.5.1986;NULL;112.89;1079.16
1362868;13628682;200;0.15;Y ;15.2.1993;NULL;265.43;609.04
1362685;13626852;200;0.15;Y ;13.10.1993;NULL;450.20;516.78
1363337;13633372;200;0.15;Y ;5.3.1995;NULL;8494.05;1180.64
1363154;13631542;100;0.15;Y ;12.2.1991;NULL;129.88;20.3
1362929;13629292;200;0.15;Y ;8.1.1987;NULL;1017.61;20.65
1362950;13629502;100;0.15;Y ;16.2.1995;NULL;163.97;163.22
1362725;13627252;100;0.15;Y ;2.9.1994;NULL;3853.98;47.34
1362542;13625422;100;0.15;Y ;25.6.1994;NULL;2865.66;0.00
1362643;13626432;3000;0.00;Y ;27.2.1992;NULL;4286.40;1860.19
1362664;13626642;3000;0.00;Y ;4.10.1991;NULL;4140.94;2683.65
1363377;13633772;3000;0.00;Y ;13.4.1995;NULL;2731.16;146.50
1363133;13631332;3000;0.00;N ;20.10.1989;27.12.1995;2736.94;1068.52
1363173;13631732;100;0.15;Y ;7.8.1995;NULL;139.57;138.38
1363398;13633982;3000;0.00;Y ;2.9.1995;NULL;2569.26;86.13
1362765;13627652;3000;0.00;Y ;25.10.1994;NULL;2615.72;820.66
1362990;13629902;3000;0.00;N ;3.3.1994;3.3.1995;2824.68;625.42
1363234;13632342;200;0.15;Y ;21.12.1989;NULL;369.40;31.19
1363255;13632552;200;0.15;Y ;10.5.1995;NULL;262.07;20.46
1362622;13626222;3000;0.00;Y ;13.1.1992;NULL;4702.27;890.53
1363316;13633162;100;0.15;Y ;21.2.1992;NULL;116.05;947.22
1362887;13628872;200;0.15;Y ;22.3.1993;NULL;1385.16;2427.18
1363112;13631122;3000;0.00;Y ;8.7.1994;NULL;2759.11;1085.16
1363356;13633562;3000;0.00;Y ;24.12.1995;NULL;2670.21;10.33
1362500;13625002;100;0.15;Y ;4.12.1995;NULL;882.15;1470.14
1362948;13629482;3000;0.00;Y ;26.9.1994;NULL;3708.36;554.35
1363438;13634382;100;0.15;Y ;16.5.1995;NULL;138.08;254.88
1362744;13627442;200;0.15;Y ;3.8.1995;NULL;219.21;205.93
1363295;13632952;100;0.15;N ;3.5.1989;20.12.1995;261.09;68.65
1363070;13630702;100;0.15;Y ;1.9.1994;NULL;212.25;307.97
1362540;13625402;3000;0.00;Y ;30.6.1995;NULL;10618.86;1515.35
1363335;13633352;100;0.15;Y ;11.7.1995;NULL;167.53;65.64
1363009;13630092;3000;0.00;Y ;9.4.1995;NULL;12692.83;9253.73
1363192;13631922;100;0.15;Y ;27.8.1992;NULL;1316.25;42.85
1362805;13628052;100;0.15;Y ;3.1.1987;NULL;259.18;14.76
1362784;13627842;3000;0.00;Y ;24.1.1995;NULL;7450.72;1095.71
1362662;13626622;3000;0.00;Y ;2.12.1991;NULL;2651.09;139.01
1363253;13632532;3000;0.00;Y ;12.6.1991;NULL;5019.19;1191.33
1363457;13634572;3000;0.00;Y ;23.4.1988;NULL;12169.88;1252.71
1362641;13626412;3000;0.00;Y ;28.11.1988;NULL;2705.53;1566.97
1362580;13625802;100;0.15;Y ;1.12.1992;NULL;376.21;29.97
1363375;13633752;200;0.15;Y ;18.7.1993;NULL;281.80;172.83
1363314;13633142;200;0.15;Y ;4.5.1993;NULL;2076.11;266.68
1362498;13624982;100;0.15;Y ;12.2.1995;NULL;233.77;172.66
1362702;13627022;200;0.15;Y ;30.8.1993;NULL;318.20;428.94
1362763;13627632;200;0.15;Y ;23.6.1995;NULL;300.20;2.72
1363171;13631712;3000;0.00;Y ;17.6.1993;NULL;5022.25;17.68
1362620;13626202;3000;0.00;Y ;30.3.1994;NULL;4233.57;243.04
1362967;13629672;100;0.15;Y ;19.9.1992;NULL;170.42;271.49
1363354;13633542;100;0.15;Y ;27.3.1994;NULL;1045.26;48.90
1363436;13634362;200;0.15;Y ;22.1.1995;NULL;387.11;218.93
1362742;13627422;3000;0.00;Y ;1.12.1991;NULL;2647.42;2562.66
1362824;13628242;200;0.15;Y ;19.4.1993;NULL;863.73;3.94
1362782;13627822;100;0.15;N ;10.12.1994;22.8.1995;171.84;41.60
1363415;13634152;3000;0.00;Y ;29.12.1995;NULL;2717.85;21.41
1363251;13632512;3000;0.00;Y ;24.7.1991;NULL;2511.83;456.92
1363272;13632722;200;0.15;Y ;5.9.1995;NULL;371.89;195.31
1363108;13631082;100;0.15;Y ;30.8.1992;NULL;272.54;268.79
1362864;13628642;100;0.15;Y ;21.5.1995;NULL;156.93;479.29
1362904;13629042;100;0.15;Y ;23.3.1987;NULL;286.22;461.88
1363333;13633332;200;0.15;Y ;4.1.1991;NULL;220.95;4.31
1362761;13627612;3000;0.00;Y ;3.1.1993;NULL;2548.88;8.21
1363129;13631292;3000;0.00;Y ;11.8.1995;NULL;2654.13;88.34
1363230;13632302;3000;0.00;Y ;8.6.1995;NULL;2620.42;551.28
1362986;13629862;3000;0.00;Y ;9.11.1995;NULL;5870.86;4690.94
1362822;13628222;3000;0.00;Y ;18.9.1994;NULL;4115.99;2156.30
1362578;13625782;3000;0.00;Y ;11.7.1993;NULL;2621.11;211.68
1363087;13630872;100;0.15;Y ;29.9.1993;NULL;320.68;30.86
1362843;13628432;3000;0.00;Y ;17.4.1994;NULL;3748.74;3907.34
1363352;13633522;100;0.15;Y ;11.12.1995;NULL;1290.57;851.45
1362700;13627002;3000;0.00;Y ;28.5.1995;NULL;2729.91;4494.03
1363413;13634132;100;0.15;Y ;17.6.1995;NULL;141.77;131.81
1363169;13631692;100;0.15;N ;18.3.1994;26.11.1995;169.00;0.00
1363209;13632092;100;0.15;N ;3.2.1986;11.11.1995;462.90;86.21
1363434;13634342;3000;0.00;Y ;29.6.1992;NULL;5344.31;22.53
1362801;13628012;200;0.15;Y ;31.10.1995;NULL;398.00;0.00
1362557;13625572;200;0.15;Y ;8.9.1995;NULL;2145.27;147.06
1363270;13632702;100;0.15;Y ;26.5.1994;NULL;214.69;15.66
1363026;13630262;200;0.15;Y ;21.3.1994;NULL;777.74;2744.43
1363066;13630662;100;0.15;N ;27.2.1994;13.3.1995;319.01;19.83
1363495;13634952;3000;0.00;Y ;27.9.1995;NULL;2605.49;178.50
1362658;13626582;3000;0.00;Y ;21.2.1991;NULL;6151.91;3517.12
1363291;13632912;3000;0.00;Y ;10.10.1995;NULL;4361.14;521.21
1363392;13633922;3000;0.00;Y ;21.12.1993;NULL;2723.71;87.69
1362740;13627402;100;0.15;Y ;15.8.1995;NULL;1237.41;562.27
1363249;13632492;200;0.15;Y ;4.6.1993;NULL;949.93;2877.12
1363474;13634742;3000;0.00;Y ;17.12.1993;NULL;2681.98;30.89
1362637;13626372;100;0.15;Y ;28.6.1995;NULL;319.45;72.09
1362597;13625972;3000;0.00;Y ;4.2.1991;NULL;2533.42;416.76
1363371;13633712;3000;0.00;Y ;30.5.1991;NULL;2788.06;54.50
1363331;13633312;3000;0.00;Y ;22.4.1991;NULL;4246.48;2897.68
1362963;13629632;200;0.15;Y ;23.11.1991;NULL;325.98;127.65
1363453;13634532;200;0.15;Y ;30.3.1993;NULL;216.97;0.00
1363228;13632282;100;0.15;Y ;10.4.1995;NULL;355.61;206.69
1362902;13629022;100;0.15;Y ;11.11.1990;NULL;117.73;112.94
1362820;13628202;3000;0.00;Y ;10.5.1990;NULL;27072.38;13185.47
1362698;13626982;3000;0.00;Y ;17.7.1993;NULL;6322.89;175.55
1362677;13626772;100;0.15;Y ;10.2.1994;NULL;110.59;385.66
1363167;13631672;3000;0.00;Y ;7.3.1993;NULL;5488.09;68.61
1363268;13632682;100;0.15;N ;25.6.1989;24.2.1995;192.61;1094.41
1362759;13627592;100;0.15;Y ;27.5.1993;NULL;433.27;4.62
1363390;13633902;3000;0.00;Y ;15.12.1995;NULL;2716.75;446.35
1362555;13625552;200;0.15;N ;28.4.1991;5.10.1995;474.47;806.73
1362513;13625132;100;0.15;Y ;26.11.1995;NULL;266.76;661.68
1363493;13634932;3000;0.00;Y ;20.5.1994;NULL;6123.84;2053.90
1363247;13632472;100;0.15;Y ;16.1.1992;NULL;236.39;458.81
1362881;13628812;200;0.15;N ;17.4.1992;6.10.1995;351.11;0.00
1362839;13628392;3000;0.00;Y ;1.6.1992;NULL;8885.44;32.80
1363003;13630032;100;0.15;Y ;16.8.1990;NULL;153.23;177.26
1362492;13624922;3000;0.00;Y ;23.4.1995;NULL;5101.60;582.82
1362595;13625952;3000;0.00;Y ;28.10.1993;NULL;4087.37;117.93
1362961;13629612;3000;0.00;N ;31.5.1994;3.3.1995;2541.98;413.73
1362921;13629212;200;0.15;Y ;15.6.1992;NULL;266.04;0.00
1363083;13630832;100;0.15;Y ;12.2.1992;NULL;286.52;2325.47
1362717;13627172;200;0.15;Y ;28.3.1995;NULL;311.91;248.16
1362675;13626752;3000;0.00;Y ;29.5.1992;NULL;2793.52;2009.72
1363043;13630432;3000;0.00;Y ;18.7.1994;NULL;4418.22;701.33
1363266;13632662;3000;0.00;Y ;19.11.1995;NULL;2820.64;1.98
1363308;13633082;3000;0.00;Y ;10.8.1994;NULL;5568.05;5651.40
1362858;13628582;200;0.15;Y ;15.6.1995;NULL;778.24;587.99
1363165;13631652;200;0.15;Y ;20.1.1990;NULL;2244.10;95.80
1363123;13631232;3000;0.00;Y ;11.3.1995;NULL;7610.01;696.74
1363022;13630222;100;0.15;Y ;12.8.1994;NULL;312.18;1184.76
1362511;13625112;100;0.15;Y ;18.11.1993;NULL;189.23;11.84
1363348;13633482;3000;0.00;N ;6.4.1991;6.9.1995;4663.36;1244.93
1362980;13629802;3000;0.00;Y ;10.7.1993;NULL;2778.92;118.27
1362736;13627362;3000;0.00;Y ;24.6.1993;NULL;2783.01;2014.49
1363449;13634492;100;0.15;Y ;17.8.1995;NULL;331.36;1572.98
1363205;13632052;3000;0.00;N ;6.7.1994;22.2.1995;2588.17;1395.69
1362837;13628372;3000;0.00;Y ;24.9.1995;NULL;2798.78;530.92
1363470;13634702;3000;0.00;Y ;11.6.1989;NULL;4068.99;1790.37
1363306;13633062;200;0.15;Y ;15.3.1990;NULL;234.76;114.94
1362593;13625932;3000;0.00;Y ;22.8.1995;NULL;4116.15;168.63
1362694;13626942;3000;0.00;Y ;12.8.1995;NULL;3993.34;93.66
1363327;13633272;3000;0.00;Y ;2.4.1995;NULL;2609.01;235.65
1362959;13629592;200;0.15;N ;7.9.1991;29.3.1995;924.76;4601.37
1362715;13627152;3000;0.00;Y ;11.11.1989;NULL;2691.06;366.99
1363428;13634282;100;0.15;N ;1.12.1993;25.9.1995;1145.06;274.96
1363184;13631842;100;0.15;Y ;1.10.1995;NULL;323.70;74.87
1362551;13625512;100;0.15;Y ;18.9.1995;NULL;352.97;2044.22
1362776;13627762;200;0.15;Y ;17.1.1995;NULL;2732.30;31.28
1362816;13628162;3000;0.00;Y ;1.10.1995;NULL;4173.06;19.72
1362572;13625722;100;0.15;Y ;16.6.1994;NULL;244.50;1.97
1363142;13631422;100;0.15;Y ;29.4.1995;NULL;571.75;11.3
1362633;13626332;3000;0.00;N ;16.7.1992;30.9.1995;4224.91;234.20
1362530;13625302;3000;0.00;Y ;25.4.1995;NULL;5316.47;17.30
1362898;13628982;200;0.15;Y ;6.11.1995;NULL;356.91;219.21
1362999;13629992;3000;0.00;Y ;2.6.1993;NULL;4089.60;3.96
1363081;13630812;100;0.15;Y ;5.3.1995;NULL;344.74;423.81
1363264;13632642;100;0.15;N ;24.3.1994;28.7.1995;191.90;15.72
1362877;13628772;100;0.15;Y ;16.3.1993;NULL;100.36;612.35
1362713;13627132;200;0.15;Y ;4.11.1995;NULL;389.87;22.21
1363346;13633462;3000;0.00;Y ;4.9.1994;NULL;4428.89;1290.34
1362509;13625092;100;0.15;Y ;5.11.1994;NULL;182.38;10.7
1362938;13629382;3000;0.00;N ;19.11.1994;11.9.1995;2677.70;417.89
1362978;13629782;3000;0.00;Y ;13.6.1994;NULL;7035.43;278.86
1362734;13627342;200;0.15;N ;4.4.1993;6.3.1995;336.21;317.02
1363447;13634472;3000;0.00;Y ;12.2.1994;NULL;2560.04;346.08
1363203;13632032;200;0.15;Y ;25.5.1994;NULL;1033.81;997.70
1362835;13628352;100;0.15;Y ;22.9.1995;NULL;239.71;276.68
1362591;13625912;3000;0.00;Y ;23.6.1993;NULL;3390.49;920.44
1363304;13633042;200;0.15;Y ;30.11.1994;NULL;269.41;50.91
1363060;13630602;3000;0.00;Y ;2.6.1991;NULL;6770.70;370.85
1363161;13631612;3000;0.00;Y ;18.2.1995;NULL;2655.35;39.09
1362652;13626522;200;0.15;Y ;8.10.1995;NULL;315.75;26.93
1363426;13634262;3000;0.00;Y ;5.12.1995;NULL;4898.05;3567.46
1362917;13629172;100;0.15;Y ;18.1.1989;NULL;447.68;45.45
1363018;13630182;100;0.15;Y ;21.3.1995;NULL;602.18;1778.61
1363243;13632432;3000;0.00;Y ;30.8.1991;NULL;2746.00;852.22
1362814;13628142;200;0.15;Y ;9.3.1995;NULL;319.87;656.39
1362631;13626312;3000;0.00;Y ;17.6.1991;NULL;4478.55;0.00
1363283;13632832;100;0.15;Y ;18.4.1995;NULL;121.77;18.54
1363100;13631002;3000;0.00;Y ;12.12.1993;NULL;2554.44;39.16
1362875;13628752;100;0.15;Y ;28.2.1990;NULL;147.02;1174.11
1362896;13628962;3000;0.00;N ;15.5.1993;22.12.1995;5929.92;512.63
1363140;13631402;200;0.15;Y ;31.7.1994;NULL;237.14;0.00
1363365;13633652;3000;0.00;Y ;24.3.1993;NULL;5578.71;901.25
1362528;13625282;3000;0.00;Y ;13.1.1986;NULL;2533.32;1087.54
1362488;13624882;3000;0.00;Y ;31.10.1989;NULL;4234.94;122.42
1362997;13629972;200;0.15;Y ;28.11.1993;NULL;229.36;222.05
1362753;13627532;100;0.15;Y ;26.2.1995;NULL;193.01;79.24
1363323;13633232;3000;0.00;Y ;9.5.1988;NULL;12005.31;1083.14
1363222;13632222;100;0.15;Y ;16.12.1995;NULL;189.85;839.81
1362711;13627112;100;0.15;Y ;9.8.1995;NULL;100.28;299.33
1363344;13633442;100;0.15;Y ;2.8.1993;NULL;159.01;68.95
1362568;13625682;3000;0.00;Y ;26.9.1995;NULL;4273.62;221.30
1362936;13629362;100;0.15;Y ;3.11.1994;NULL;173.72;109.31
1363037;13630372;3000;0.00;Y ;15.11.1992;NULL;2581.35;182.95
1363405;13634052;100;0.15;Y ;27.2.1995;NULL;238.10;344.52
1363302;13633022;200;0.15;Y ;14.4.1993;NULL;5499.36;4023.58
1363201;13632012;100;0.15;Y ;23.4.1995;NULL;1194.44;777.16
1362690;13626902;3000;0.00;Y ;25.12.1994;NULL;3313.60;282.92
1362793;13627932;3000;0.00;N ;6.4.1992;24.9.1995;3699.71;291.67
1363159;13631592;200;0.15;Y ;4.1.1995;NULL;346.65;35.80
1363262;13632622;100;0.15;N ;28.7.1992;17.1.1995;436.88;244.53
1363342;13633422;100;0.15;Y ;5.9.1994;NULL;224.60;14.45
1363058;13630582;3000;0.00;Y ;27.10.1988;NULL;2744.91;121.27
1363138;13631382;100;0.15;Y ;17.2.1993;NULL;103.39;15.52
1363384;13633842;3000;0.00;Y ;7.1.1990;NULL;7388.44;12.8
1362730;13627302;200;0.15;N ;15.12.1993;8.11.1995;224.60;19.1
1362507;13625072;200;0.15;Y ;10.2.1995;NULL;337.22;1087.84
1363199;13631992;3000;0.00;N ;2.3.1994;29.11.1995;2548.35;1248.05
1362772;13627722;3000;0.00;Y ;27.8.1994;NULL;4135.59;18.30
1362995;13629952;100;0.15;Y ;22.9.1995;NULL;381.90;2007.33
1363241;13632412;200;0.15;Y ;28.4.1993;NULL;478.79;18.37
1362587;13625872;3000;0.00;Y ;8.8.1990;NULL;2520.63;292.00
1363098;13630982;3000;0.00;Y ;25.5.1995;NULL;2874.57;17.71
1362852;13628522;200;0.15;N ;3.6.1994;16.5.1995;3616.64;59.50
1362486;13624862;3000;0.00;Y ;24.8.1994;NULL;4252.39;3312.27
1363321;13633212;100;0.15;Y ;13.12.1994;NULL;209.65;2748.89
1363403;13634032;3000;0.00;Y ;26.7.1993;NULL;4787.32;366.58
1362709;13627092;200;0.15;Y ;25.8.1991;NULL;2254.04;185.90
1362526;13625262;100;0.15;Y ;26.6.1995;NULL;2885.72;140.01
1363178;13631782;200;0.15;Y ;31.1.1993;NULL;383.35;48.73
1362791;13627912;3000;0.00;Y ;24.2.1994;NULL;2671.00;874.16
1362566;13625662;3000;0.00;N ;5.6.1992;18.3.1995;17315.16;38.10
1363117;13631172;100;0.15;Y ;14.12.1990;NULL;451.14;0.00
1363035;13630352;100;0.15;Y ;10.9.1995;NULL;157.50;253.21
1363382;13633822;3000;0.00;Y ;10.5.1995;NULL;2694.39;1544.52
1363157;13631572;3000;0.00;Y ;23.12.1995;NULL;9749.29;117.49
1362505;13625052;100;0.15;Y ;11.3.1994;NULL;125.36;11.70
1362749;13627492;3000;0.00;Y ;8.3.1993;NULL;2608.15;918.17
1362974;13629742;200;0.15;Y ;30.6.1995;NULL;383.02;953.53
1363483;13634832;100;0.15;Y ;7.1.1995;NULL;144.64;403.75
1362770;13627702;100;0.15;Y ;24.9.1994;NULL;407.29;237.69
1362606;13626062;3000;0.00;Y ;10.10.1995;NULL;5103.77;1319.97
1362831;13628312;200;0.15;N ;8.11.1994;22.2.1995;2170.02;123.78
1363197;13631972;3000;0.00;Y ;10.10.1993;NULL;2696.67;158.09
1363361;13633612;3000;0.00;N ;24.2.1994;18.2.1995;3650.35;21.54
1363462;13634622;3000;0.00;Y ;22.10.1991;NULL;2504.19;2421.03
1362484;13624842;3000;0.00;Y ;2.1.1993;NULL;2613.46;95.32
1362585;13625852;200;0.15;Y ;9.3.1991;NULL;381.40;176.63
1363218;13632182;3000;0.00;Y ;26.4.1995;NULL;2812.42;380.37
1363054;13630542;3000;0.00;Y ;7.4.1992;NULL;2738.75;50.67
1362810;13628102;3000;0.00;Y ;25.12.1993;NULL;2730.32;344.33
1362850;13628502;3000;0.00;Y ;30.10.1995;NULL;2682.82;1179.40
1362932;13629322;200;0.15;Y ;18.4.1994;NULL;384.55;500.83
1362911;13629112;100;0.15;Y ;26.5.1992;NULL;225.66;43.24
1362993;13629932;3000;0.00;Y ;26.5.1995;NULL;2744.10;3227.45
1362768;13627682;3000;0.00;Y ;26.5.1995;NULL;2512.80;2429.77
1363258;13632582;100;0.15;N ;15.12.1994;21.4.1995;170.57;12.14
1362625;13626252;200;0.15;N ;29.6.1990;5.5.1995;489.23;533.18
1362503;13625032;200;0.15;Y ;1.9.1994;NULL;2176.17;535.61
1363216;13632162;200;0.15;Y ;31.12.1993;NULL;2272.32;1015.46
1363441;13634412;100;0.15;Y ;5.8.1986;NULL;105.89;145.82
1363012;13630122;200;0.15;Y ;13.5.1993;NULL;1115.62;5.59
1363237;13632372;3000;0.00;Y ;31.8.1994;NULL;7563.81;135.39
1363481;13634812;100;0.15;Y ;19.10.1993;NULL;202.56;25.94
1362829;13628292;200;0.15;Y ;20.8.1993;NULL;638.32;2516.20
1363073;13630732;3000;0.00;Y ;25.10.1988;NULL;2804.23;125.90
1363298;13632982;3000;0.00;N ;17.9.1993;23.12.1995;7460.23;170.04
1362726;13627262;100;0.15;Y ;18.4.1995;NULL;180.28;13.37
1362686;13626862;200;0.15;Y ;24.7.1995;NULL;337.72;13.37
1363195;13631952;100;0.15;Y ;4.7.1993;NULL;136.24;579.16
1363420;13634202;3000;0.00;Y ;24.3.1993;NULL;2825.63;278.98
1363317;13633172;100;0.15;Y ;16.5.1991;NULL;280.79;269.76
1362808;13628082;3000;0.00;N ;12.12.1993;15.2.1995;4076.50;1724.92
1362766;13627662;200;0.15;Y ;14.9.1995;NULL;11266.70;4359.83
1363134;13631342;100;0.15;Y ;18.2.1990;NULL;163.08;0.00
1363235;13632352;200;0.15;Y ;29.9.1993;NULL;2887.85;1067.57
1363399;13633992;100;0.15;Y ;20.11.1995;NULL;1268.66;548.29
1363031;13630312;200;0.15;Y ;3.10.1990;NULL;629.03;1938.99
1362991;13629912;100;0.15;Y ;1.6.1993;NULL;177.38;77.44
1362623;13626232;100;0.15;N ;18.10.1993;17.1.1995;276.29;16.18
1362644;13626442;100;0.15;Y ;5.6.1991;NULL;312.72;382.47
1362888;13628882;100;0.15;Y ;4.1.1995;NULL;3443.99;4139.88
1362705;13627052;3000;0.00;Y ;16.2.1995;NULL;3482.11;81.14
1362480;13624802;100;0.15;Y ;23.12.1992;NULL;331.85;86.86
1362501;13625012;100;0.15;Y ;13.1.1987;NULL;356.40;1.80
1363214;13632142;3000;0.00;Y ;19.4.1991;NULL;4244.28;134.88
1362970;13629702;200;0.15;Y ;10.1.1995;NULL;411.71;555.82
1362602;13626022;200;0.15;Y ;27.2.1995;NULL;428.90;626.79
1362562;13625622;3000;0.00;Y ;17.11.1995;NULL;7997.57;5521.65
1363071;13630712;3000;0.00;Y ;24.1.1994;NULL;2606.90;175.42
1362827;13628272;3000;0.00;Y ;9.5.1994;NULL;2569.45;17.21
1363336;13633362;3000;0.00;Y ;10.1.1993;NULL;4355.05;195.15
1363296;13632962;3000;0.00;Y ;28.6.1991;NULL;2505.07;1.55
1362928;13629282;100;0.15;Y ;15.1.1995;NULL;136.14;3.80
1363092;13630922;100;0.15;Y ;6.2.1995;NULL;171.80;38.20
1363193;13631932;3000;0.00;Y ;1.2.1993;NULL;4219.43;4048.98
1362949;13629492;3000;0.00;Y ;3.8.1994;NULL;2677.39;14.7
1362642;13626422;100;0.15;Y ;17.8.1994;NULL;131.46;112.61
1363010;13630102;100;0.15;Y ;9.9.1992;NULL;149.83;1574.39
1362764;13627642;200;0.15;Y ;5.4.1994;NULL;278.11;728.77
1362806;13628062;100;0.15;Y ;22.11.1993;NULL;218.47;2561.24
1363233;13632332;3000;0.00;Y ;1.7.1995;NULL;5230.56;313.60
1363275;13632752;100;0.15;Y ;2.3.1994;NULL;229.67;46.55
1362621;13626212;3000;0.00;Y ;21.4.1995;NULL;2664.89;121.73
