cust_id;income;age;years_with_bank;nbr_children;gender;marital_status;name_prefix;first_name;last_name;street_nbr;street_name;postal_code;city_name;state_code
1363322;66930;58;8;0;F ;2;        ;Angela                                                      ;Herreweyers                                                 ;16264;Valley                                                      ;46240;Indianapolis                            ;IN  
1363261;19494;46;6;0;F ;1;Ms.     ;Paula                                                       ;Wittenberg                                                  ;5488;Cherry                                                      ;10098;New York City                           ;NY  
1363179;19334;42;2;2;F ;4;Mrs.    ;Kathy                                                       ;Glover                                                      ;14639;Stillwater                                                  ;60637;Chicago                                 ;IL  
1363057;6493;74;4;0;F ;2;        ;Carmen                                                      ;Williamson                                                  ;7541;Parsons                                                     ;14667;Rochester                               ;NY  
1363444;3171;22;1;1;F ;2;Mrs.    ;Cecilia                                                     ;McLaughlin                                                  ;11867;C                                                           ;94260;Sacramento                              ;CA  
1362649;8976;28;7;1;F ;2;        ;Demi                                                        ;Garrison                                                    ;9374;Clairemont Mesa                                             ;10153;New York City                           ;NY  
1362567;30664;56;6;1;F ;2;Mrs.    ;Kimberly                                                    ;Telles                                                      ;17599;Orange                                                      ;90112;Los Angeles                             ;CA  
1363383;21751;64;4;0;M ;2;        ;Ron                                                         ;Schnack                                                     ;19010;Quince                                                      ;80228;Denver                                  ;CO  
1363036;24326;60;0;0;F ;2;        ;Cynthia                                                     ;Erceg                                                       ;10637;Inspiration                                                 ;53217;Milwaukee                               ;WI  
1362506;76087;52;2;1;M ;2;Mr.     ;Jeff                                                        ;Troester                                                    ;8001;Gardenia                                                    ;94164;San Francisco                           ;CA  
1362832;56597;31;1;2;F ;2;        ;Connie                                                      ;Raco                                                        ;17121;Stillwater                                                  ;48212;Detroit                                 ;MI  
1362975;36330;46;6;1;M ;2;        ;Nick                                                        ;Mevawalla                                                   ;3023;Capital                                                     ;68180;Omaha                                   ;NB  
1363301;39991;40;0;0;F ;1;        ;Chris                                                       ;Owings                                                      ;10854;Walnut                                                      ;85707;Tucson                                  ;AZ  
1362771;24344;32;2;2;F ;2;Mrs.    ;Brenda                                                      ;Khanijow                                                    ;12529;2nd                                                         ;60601;Chicago                                 ;IL  
1362893;0;15;7;0;M ;1;        ;Dean                                                        ;Kirchmer                                                    ;3204;Kingsbury                                                   ;97248;Portland                                ;OR  
1363097;21663;54;4;1;F ;2;        ;Margarita                                                   ;Justice                                                     ;9085;Rose                                                        ;96849;Honolulu                                ;HI  
1363158;13148;48;8;0;M ;1;        ;Carlo                                                       ;Ryback                                                      ;11155;First                                                       ;44101;Cleveland                               ;OH  
1362485;22690;25;4;0;F ;1;Dr.     ;Elvira                                                      ;Linderman                                                   ;4581;Daffodil                                                    ;10140;New York City                           ;NY  
1362546;10025;35;5;0;F ;2;        ;Joyce                                                       ;Levy                                                        ;2125;Third                                                       ;10126;New York City                           ;NY  
1362954;43317;30;0;3;F ;2;Ms.     ;Judith                                                      ;Palmer                                                      ;5020;Eighth                                                      ;95137;San Jose                                ;CA  
1363015;24545;52;2;1;F ;2;Ms.     ;Debbie                                                      ;McMillen                                                    ;10274;Mission Gorge                                               ;90095;Los Angeles                             ;CA  
1363219;18036;36;6;2;F ;2;        ;Kathy                                                       ;Higgins                                                     ;19629;Humble                                                      ;10154;New York City                           ;NY  
1363484;10244;52;2;0;F ;1;        ;Blanche                                                     ;Takahashi                                                   ;8050;Flower                                                      ;55481;Minneapolis                             ;MN  
1362811;8011;82;2;0;F ;2;        ;Daniel                                                      ;Hoff                                                        ;9205;Thirteenth                                                  ;19117;Philadelphia                            ;PA  
1362607;24450;44;4;1;M ;2;        ;Johnson                                                     ;Celio                                                       ;9291;Kingsbury                                                   ;98133;Seattle                                 ;WA  
1363280;7571;23;2;1;F ;4;        ;May                                                         ;Thomas                                                      ;3520;A                                                           ;38168;Memphis                                 ;TN  
1362872;17099;47;7;2;F ;3;Ms.     ;June                                                        ;Bradley                                                     ;6560;Jasmine                                                     ;90141;Los Angeles                             ;CA  
1363076;47083;43;3;1;F ;2;Ms.     ;Marsha                                                      ;Richards                                                    ;19289;Lemon                                                       ;10171;New York City                           ;NY  
1362729;0;13;5;0;M ;1;        ;Bruce                                                       ;Kraus                                                       ;1223;Vine                                                        ;10104;New York City                           ;NY  
1362668;0;13;5;0;M ;1;        ;Chiman                                                      ;Boyd                                                        ;16437;37th                                                        ;90750;Long Beach                              ;CA  
1363198;60104;56;6;2;M ;2;        ;Hal                                                         ;Maloney                                                     ;18391;J                                                           ;94225;Sacramento                              ;CA  
1362933;19823;55;5;1;M ;2;        ;Hubbert                                                     ;Paul                                                        ;15329;Spring Center                                               ;97237;Portland                                ;OR  
1362586;24476;46;6;0;F ;1;        ;Blanche                                                     ;Norris                                                      ;2312;Bear                                                        ;23570;Norfolk                                 ;VA  
1363402;24368;63;3;0;F ;1;        ;Inge                                                        ;McLain                                                      ;245;B                                                           ;10007;New York City                           ;NY  
1363055;34473;52;2;1;M ;2;        ;Steve                                                       ;Clark                                                       ;2676;Inspiration                                                 ;53277;Milwaukee                               ;WI  
1362525;6300;77;7;0;F ;1;Ms.     ;Virginia                                                    ;Murray                                                      ;10659;Bear                                                        ;60613;Chicago                                 ;IL  
1362851;51608;39;4;0;M ;1;        ;Kalin                                                       ;Niedelman                                                   ;5667;Ninth                                                       ;77036;Houston                                 ;TX  
1363259;7335;28;7;1;M ;2;Mr.     ;Carl                                                        ;Lennan                                                      ;6656;A                                                           ;90166;Los Angeles                             ;CA  
1362912;29064;35;5;3;M ;2;Dr.     ;Vincent                                                     ;Alpert                                                      ;10566;Orchid                                                      ;10086;New York City                           ;NY  
1362504;0;15;0;0;F ;1;        ;Tammy                                                       ;Carrington                                                  ;11763;106th                                                       ;90785;Long Beach                              ;CA  
1362708;15246;29;4;0;M ;1;Dr.     ;Peter                                                       ;Roberts                                                     ;4463;Jasmine                                                     ;10164;New York City                           ;NY  
1362973;17242;60;0;0;F ;1;        ;Amelia                                                      ;Hanson                                                      ;2897;37th                                                        ;19155;Philadelphia                            ;PA  
1363442;144157;58;5;0;M ;2;        ;Alex                                                        ;Gins                                                        ;9758;Orchid                                                      ;77034;Houston                                 ;TX  
1362769;27885;34;3;0;F ;1;        ;Kathy                                                       ;Liu                                                         ;10345;2nd                                                         ;94149;San Francisco                           ;CA  
1362565;27492;49;9;0;F ;1;        ;Carmen                                                      ;Pike                                                        ;12941;Eagle Rock                                                  ;90794;Long Beach                              ;CA  
1363238;5788;35;5;2;F ;2;        ;Kim                                                         ;Lew                                                         ;11731;89th                                                        ;78784;Austin                                  ;TX  
1362891;0;15;7;0;F ;1;        ;Molly                                                       ;Kirchmer                                                    ;3204;Kingsbury                                                   ;97248;Portland                                ;OR  
1362830;10933;18;3;0;F ;1;        ;Lisa                                                        ;Roberson                                                    ;16032;Inspiration                                                 ;15279;Pittsburgh                              ;PA  
1363217;15724;41;1;0;F ;1;        ;Janice                                                      ;Ozenbaugh                                                   ;1733;Lotus                                                       ;92176;San Diego                               ;CA  
1362626;15993;30;0;3;F ;2;        ;Joanna                                                      ;Hemphill                                                    ;12054;Orange                                                      ;33157;Miami                                   ;FL  
1363013;4435;65;5;0;F ;2;        ;Malisa                                                      ;Schissler                                                   ;7830;6th                                                         ;10101;New York City                           ;NY  
1363095;12396;60;0;0;F ;2;Mrs.    ;Maxine                                                      ;Brownell                                                    ;9012;106th                                                       ;10084;New York City                           ;NY  
1363482;9129;66;6;0;M ;2;Mr.     ;Tim                                                         ;Sze                                                         ;6557;B                                                           ;80274;Denver                                  ;CO  
1362687;7431;37;7;1;F ;2;        ;Daisy                                                       ;Parent                                                      ;10425;23rd                                                        ;97203;Portland                                ;OR  
1362605;16957;34;4;0;F ;2;        ;Robyn                                                       ;Baker                                                       ;16177;Ninth                                                       ;37229;Nashville                               ;TN  
1362952;7633;53;3;0;F ;2;Mrs.    ;Farrah                                                      ;O'Flaherty                                                  ;2699;Quince                                                      ;98186;Seattle                                 ;WA  
1363339;0;14;6;0;F ;1;        ;Sibyl                                                       ;Starkel                                                     ;5874;Old Cliffs                                                  ;90106;Los Angeles                             ;CA  
1363421;1982;28;7;0;M ;1;        ;Kent                                                        ;Harper                                                      ;3447;Washington                                                  ;94606;Oakland                                 ;CA  
1362727;81509;41;1;1;F ;2;        ;Pat                                                         ;Kraus                                                       ;1223;Vine                                                        ;10104;New York City                           ;NY  
1362809;25180;56;6;1;F ;3;        ;Jill                                                        ;Rostek                                                      ;13093;Vine                                                        ;46232;Indianapolis                            ;IN  
1363196;35502;42;2;0;F ;1;        ;Kitty                                                       ;Aroori                                                      ;4835;B                                                           ;90175;Los Angeles                             ;CA  
1362666;0;15;7;0;F ;1;        ;Harriet                                                     ;Boyd                                                        ;16437;37th                                                        ;90750;Long Beach                              ;CA  
1363461;23108;69;9;0;F ;2;Dr.     ;Caroline                                                    ;Ross                                                        ;9959;Old Cliffs                                                  ;55177;St Paul                                 ;MN  
1363135;18350;38;5;2;F ;2;Mrs.    ;Rosalynn                                                    ;Hedegard                                                    ;3846;Daffodil                                                    ;92821;Anaheim                                 ;CA  
1362584;12885;61;1;0;F ;2;        ;Molly                                                       ;Cole                                                        ;19803;Daisy                                                       ;60666;Chicago                                 ;IL  
1362931;39704;53;3;1;F ;2;Mrs.    ;Paulina                                                     ;Shen                                                        ;14679;Figueroa                                                    ;90003;Los Angeles                             ;CA  
1363053;55061;30;0;0;M ;1;        ;Tam                                                         ;O'Brien                                                     ;5200;Hotel Cir                                                   ;21254;Baltimore                               ;MD  
1363400;49258;49;9;0;F ;2;Mrs.    ;Priscilla                                                   ;Lackpour                                                    ;18036;Cistus                                                      ;10208;New York City                           ;NY  
1363318;7751;41;1;2;F ;4;        ;Beatrice                                                    ;Powers                                                      ;5315;Parrot                                                      ;78429;Corpus Christi                          ;TX  
1362523;0;13;5;0;F ;1;        ;Julie                                                       ;Morton                                                      ;8369;Madison                                                     ;90061;Los Angeles                             ;CA  
1362706;0;15;7;0;F ;1;        ;Lisa                                                        ;Dole                                                        ;1537;23rd                                                        ;63137;St Louis                                ;MO  
1362992;24534;40;0;0;F ;1;        ;Pauline                                                     ;Lennan                                                      ;10547;Olive                                                       ;85036;Phoenix                                 ;AZ  
1363175;0;16;1;0;F ;1;        ;Chris                                                       ;McLaughlin                                                  ;2567;Inspiration                                                 ;92817;Anaheim                                 ;CA  
1363257;31910;44;4;0;M ;1;Mr.     ;Terry                                                       ;Panfilov                                                    ;15489;Fifth                                                       ;10118;New York City                           ;NY  
1362767;0;17;2;0;F ;1;        ;Nellie                                                      ;Elliot                                                      ;16726;D                                                           ;60606;Chicago                                 ;IL  
1362849;22001;44;4;0;F ;1;        ;Lorraine                                                    ;Knowles                                                     ;10246;Division                                                    ;37209;Nashville                               ;TN  
1362563;14711;73;3;0;M ;2;        ;Yunqing                                                     ;McHugh                                                      ;9266;D                                                           ;60647;Chicago                                 ;IL  
1362645;57194;31;1;3;M ;4;Mr.     ;Erin                                                        ;Kjolsing                                                    ;4758;Seventh                                                     ;90057;Los Angeles                             ;CA  
1362624;28867;77;7;0;F ;2;Mrs.    ;Sally                                                       ;Newton                                                      ;4144;Kings                                                       ;77099;Houston                                 ;TX  
1362502;15530;57;7;2;M ;2;        ;Gilbert                                                     ;Carrington                                                  ;11763;106th                                                       ;90785;Long Beach                              ;CA  
1362481;20855;36;6;2;F ;2;        ;Darby                                                       ;Beed                                                        ;6498;H                                                           ;10209;New York City                           ;NY  
1362971;31040;60;0;0;F ;2;Ms.     ;Harriet                                                     ;Putnam                                                      ;6784;Kingsbury                                                   ;98162;Seattle                                 ;WA  
1362746;8810;35;5;2;F ;2;        ;Arlene                                                      ;Sinclair                                                    ;12175;Parsons                                                     ;70156;New Orleans                             ;LA  
1363236;23206;64;4;0;M ;3;Mr.     ;Teri                                                        ;Steele                                                      ;8228;89th                                                        ;90130;Los Angeles                             ;CA  
1363215;57723;57;7;1;M ;4;        ;Marty                                                       ;Lau                                                         ;13456;Old Cliffs                                                  ;10229;New York City                           ;NY  
1362828;3994;87;7;0;M ;2;        ;Larry                                                       ;Jiang                                                       ;4080;B                                                           ;10248;New York City                           ;NY  
1363011;90248;55;5;0;M ;4;        ;Joe                                                         ;Wall                                                        ;5109;Dahlia                                                      ;10145;New York City                           ;NY  
1363297;9351;46;6;0;F ;1;        ;Debbie                                                      ;McCreary                                                    ;17730;Dahlia                                                      ;85701;Tucson                                  ;AZ  
1363480;8038;22;1;0;F ;1;Ms.     ;Connie                                                      ;Harrington                                                  ;7331;Madison                                                     ;21257;Baltimore                               ;MD  
1363093;1039;79;9;0;M ;2;        ;Yasmine                                                     ;Larson                                                      ;2034;Rose                                                        ;55174;St Paul                                 ;MN  
1363072;7495;88;8;0;M ;2;Mr.     ;Yoshito                                                     ;Henderson                                                   ;1284;Humble                                                      ;79931;El Paso                                 ;TX  
1362685;34080;49;2;0;F ;1;Miss    ;Rhonda                                                      ;Grimmer                                                     ;11318;Tulip                                                       ;77287;Houston                                 ;TX  
1362868;14877;33;3;3;F ;2;        ;Carmen                                                      ;Keller                                                      ;4669;Broadway                                                    ;60621;Chicago                                 ;IL  
1363154;2925;29;8;2;F ;4;Ms.     ;Kathy                                                       ;Johnson                                                     ;4007;G                                                           ;94272;Sacramento                              ;CA  
1363337;84335;43;3;4;F ;4;        ;Michelle                                                    ;Starkel                                                     ;5874;Old Cliffs                                                  ;90106;Los Angeles                             ;CA  
1362950;11935;60;0;0;F ;2;        ;Happy                                                       ;Warner                                                      ;13871;2nd                                                         ;40564;Lexington                               ;KY  
1362929;83295;58;8;1;M ;4;Mr.     ;Les                                                         ;Carter                                                      ;14440;Second                                                      ;78707;Austin                                  ;TX  
1362542;43900;36;6;2;F ;2;Ms.     ;Mayreen                                                     ;Hudson                                                      ;17954;Inspiration                                                 ;10152;New York City                           ;NY  
1362725;68933;52;2;1;M ;3;        ;Syukuro                                                     ;Center                                                      ;4900;Division                                                    ;63152;St Louis                                ;MO  
1363276;16422;32;2;3;M ;2;Mr.     ;Charles                                                     ;Mealhouse                                                   ;437;Fern                                                        ;64105;Kansas City                             ;MO  
1363194;24275;55;5;1;F ;3;        ;Sheila                                                      ;Hummel                                                      ;4855;Oleander                                                    ;64136;Kansas City                             ;MO  
1362664;30676;46;4;5;M ;4;Mr.     ;Corey                                                       ;Boyd                                                        ;16437;37th                                                        ;90750;Long Beach                              ;CA  
1363051;0;14;6;0;M ;1;        ;Johnson                                                     ;Wollmann                                                    ;4864;Westchester                                                 ;73179;Oklahoma City                           ;OK  
1363133;12823;66;6;0;F ;1;Ms.     ;Lila                                                        ;Coleman                                                     ;1108;Park                                                        ;74168;Tulsa                                   ;OK  
1362643;6356;18;3;0;F ;1;        ;Julie                                                       ;Hood                                                        ;19762;Maiden                                                      ;14686;Rochester                               ;NY  
1363398;13811;50;0;0;F ;3;        ;Elsie                                                       ;Larichev                                                    ;11134;Park                                                        ;68108;Omaha                                   ;NB  
1363377;5488;33;3;3;F ;2;        ;Darby                                                       ;Milby                                                       ;2130;Tenth                                                       ;92173;San Diego                               ;CA  
1362990;0;16;1;0;F ;1;        ;May                                                         ;Swanson                                                     ;5769;Inspiration                                                 ;77140;Houston                                 ;TX  
1363173;27649;58;8;1;M ;2;        ;Moji                                                        ;McLaughlin                                                  ;2567;Inspiration                                                 ;92817;Anaheim                                 ;CA  
1363459;11944;40;0;1;M ;2;Dr.     ;Justin                                                      ;King                                                        ;4745;Vine                                                        ;97203;Portland                                ;OR  
1362765;2769;18;3;0;F ;1;Ms.     ;Jenny                                                       ;Holloway                                                    ;19477;Camellia                                                    ;94103;San Francisco                           ;CA  
1363255;17559;51;1;0;F ;2;Mrs.    ;Vivian                                                      ;Romen                                                       ;2444;Parrot                                                      ;90186;Los Angeles                             ;CA  
1363234;12202;79;9;0;M ;2;Dr.     ;Charles                                                     ;Bender                                                      ;7195;Elk                                                         ;38177;Memphis                                 ;TN  
1363316;18144;28;5;0;F ;1;        ;Farrah                                                      ;Smith                                                       ;4177;Westchester                                                 ;40261;Louisville                              ;KY  
1362622;34797;69;9;0;M ;1;        ;Rich                                                        ;Matser                                                      ;6781;81st                                                        ;92505;Riverside                               ;CA  
1363112;13295;38;8;3;F ;2;        ;Maria                                                       ;Shelton                                                     ;11570;Beach                                                       ;90048;Los Angeles                             ;CA  
1363091;0;15;0;0;M ;1;        ;Nick                                                        ;Johnston                                                    ;7625;35th                                                        ;78738;Austin                                  ;TX  
1362500;56708;40;0;0;M ;1;        ;Dan                                                         ;Young                                                       ;15242;Clairemont Mesa                                             ;75370;Dallas                                  ;TX  
1362887;79057;57;6;0;M ;3;        ;Dan                                                         ;Ruegsegger                                                  ;5061;Quince                                                      ;38132;Memphis                                 ;TN  
1362969;75121;58;8;0;F ;4;Mrs.    ;Brenda                                                      ;Shropshire                                                  ;1497;Plum                                                        ;60663;Chicago                                 ;IL  
1363356;12258;39;9;3;F ;2;        ;Patty                                                       ;Meyer                                                       ;5622;Figueroa                                                    ;94180;San Francisco                           ;CA  
1363438;2644;23;2;1;M ;2;        ;Joshua                                                      ;Frost                                                       ;709;Kings                                                       ;78468;Corpus Christi                          ;TX  
1362948;28864;59;9;1;M ;4;        ;George                                                      ;Burger                                                      ;12557;Valley                                                      ;92178;San Diego                               ;CA  
1362826;0;15;0;0;F ;1;        ;Marjorie                                                    ;Hills                                                       ;10984;El Paso                                                     ;94174;San Francisco                           ;CA  
1362744;3618;89;9;0;F ;2;Ms.     ;Elizabeth                                                   ;Dixit                                                       ;8559;Beach                                                       ;53206;Milwaukee                               ;WI  
1363295;4391;66;6;0;F ;4;        ;Janice                                                      ;Johnson                                                     ;2345;Sunflower                                                   ;85046;Phoenix                                 ;AZ  
1363213;38010;60;0;0;M ;2;Mr.     ;Jaime                                                       ;Keith                                                       ;5268;Lemon                                                       ;44127;Cleveland                               ;OH  
1362683;44288;34;4;1;F ;2;        ;Julio                                                       ;Masina                                                      ;18004;Fifth                                                       ;90065;Los Angeles                             ;CA  
1363070;5808;19;1;0;F ;1;        ;Farrah                                                      ;Pauly                                                       ;11583;Rose                                                        ;60606;Chicago                                 ;IL  
1362540;49731;62;2;0;F ;2;        ;Maryjane                                                    ;Raco                                                        ;1894;Kingsbury                                                   ;60639;Chicago                                 ;IL  
1363335;2807;54;2;0;F ;2;Ms.     ;Lynn                                                        ;Pike                                                        ;13868;Third                                                       ;55422;Minneapolis                             ;MN  
1363009;95585;53;3;1;M ;2;Mr.     ;Corey                                                       ;Winton                                                      ;6777;Lilac                                                       ;80243;Denver                                  ;CO  
1362927;15795;63;3;0;M ;2;Mr.     ;Kevin                                                       ;Pieper                                                      ;19140;Figueroa                                                    ;45246;Cincinnati                              ;OH  
1362805;4626;78;8;0;F ;3;Ms.     ;Dana                                                        ;Williamson                                                  ;6006;44th                                                        ;10105;New York City                           ;NY  
1363192;10151;34;4;0;M ;4;        ;Thomas                                                      ;Morton                                                      ;4708;Spring Center                                               ;92806;Anaheim                                 ;CA  
1362662;4604;65;5;0;F ;2;        ;Cecily                                                      ;Muller                                                      ;308;Sierra Linda                                                ;10014;New York City                           ;NY  
1362784;55678;43;3;5;M ;2;        ;Bill                                                        ;Bailey                                                      ;8178;5th                                                         ;64132;Kansas City                             ;MO  
1362723;40898;39;8;1;M ;2;        ;Albert                                                      ;Marxen                                                      ;11356;Second                                                      ;10259;New York City                           ;NY  
1363253;39291;58;8;1;F ;4;Mrs.    ;Maria                                                       ;Green                                                       ;7442;Peach                                                       ;60666;Chicago                                 ;IL  
1363457;86744;57;7;0;M ;2;Dr.     ;Adisak                                                      ;Hanson                                                      ;10061;Kings                                                       ;23463;Virginia Beach                          ;VA  
1362641;3419;28;7;0;F ;1;Ms.     ;Polly                                                       ;Huff                                                        ;2116;Broadway                                                    ;45471;Dayton                                  ;OH  
1362580;29363;36;6;3;F ;4;        ;Mona                                                        ;Porter                                                      ;6627;D                                                           ;94293;Sacramento                              ;CA  
