cust_id;acct_nbr;minimum_balance;acct_type;account_active;acct_start_date;acct_end_date;starting_balance;ending_balance
1362767;13627673;100;BS  ;Y ;21.3.1993;NULL;276.81;1098.48
1363421;13634213;100;BS  ;Y ;19.9.1988;NULL;191.77;197.64
1362624;13626243;100;BS  ;Y ;18.6.1993;NULL;364.47;1028.01
1362809;13628093;100;BS  ;Y ;31.1.1989;NULL;270.75;274.83
1362746;13627463;100;BS  ;Y ;30.12.1995;NULL;2263.07;2946.92
1362666;13626663;500;MM  ;Y ;23.2.1991;NULL;574.42;300.42
1363215;13632153;100;BS  ;Y ;17.10.1995;NULL;924.00;2689.95
1363135;13631353;500;MM  ;N ;29.4.1990;19.6.1995;533.67;540.37
1363011;13630113;100;BS  ;Y ;20.10.1990;NULL;1470.91;1387.58
1363400;13634003;100;BS  ;Y ;22.8.1993;NULL;565.38;137.85
1363337;13633373;100;BS  ;Y ;12.6.1994;NULL;531.48;7766.05
1362523;13625233;100;BS  ;Y ;26.6.1992;NULL;262.21;127.38
1362929;13629293;100;BS  ;Y ;8.5.1995;NULL;1229.27;1535.83
1363257;13632573;100;BS  ;Y ;8.9.1993;NULL;273.21;1209.67
1362725;13627253;500;MM  ;Y ;30.1.1995;NULL;17303.42;16095.50
1362502;13625023;100;BS  ;Y ;13.5.1988;NULL;228.81;697.68
1363194;13631943;100;BS  ;N ;25.9.1990;21.4.1995;210.50;455.67
1363236;13632363;100;BS  ;Y ;19.9.1994;NULL;288.72;1067.70
1362643;13626433;100;BS  ;N ;27.2.1992;16.9.1995;135.78;494.84
1363093;13630933;100;BS  ;N ;30.5.1986;10.10.1995;273.80;86.31
1363377;13633773;500;MM  ;Y ;1.7.1994;NULL;610.91;1782.06
1362685;13626853;100;BS  ;Y ;9.6.1994;NULL;335.36;1735.39
1363173;13631733;500;MM  ;N ;15.11.1987;5.12.1995;984.06;382.80
1362950;13629503;500;MM  ;Y ;21.12.1995;NULL;658.26;1545.22
1362765;13627653;100;BS  ;N ;3.11.1992;4.2.1995;153.00;1363.11
1362542;13625423;100;BS  ;Y ;27.10.1995;NULL;607.88;1654.74
1363234;13632343;100;BS  ;Y ;14.5.1988;NULL;139.94;918.39
1363276;13632763;500;MM  ;Y ;26.3.1995;NULL;812.36;2037.38
1362622;13626223;500;MM  ;Y ;8.4.1989;NULL;9223.34;13404.16
1363133;13631333;100;BS  ;Y ;20.10.1989;NULL;173.72;1082.35
1363091;13630913;100;BS  ;Y ;5.11.1995;NULL;2303.88;2338.68
1362990;13629903;100;BS  ;Y ;3.3.1994;NULL;160.90;1113.07
1362887;13628873;100;BS  ;N ;10.5.1991;14.1.1995;591.90;4262.93
1363316;13633163;100;BS  ;Y ;14.4.1995;NULL;318.04;629.06
1363356;13633563;100;BS  ;Y ;9.9.1993;NULL;285.45;148.06
1362500;13625003;100;BS  ;Y ;8.12.1995;NULL;330.98;335.99
1362744;13627443;100;BS  ;Y ;2.8.1987;NULL;127.54;1797.22
1362969;13629693;100;BS  ;Y ;15.3.1992;NULL;1063.49;5792.74
1363213;13632133;100;BS  ;Y ;29.3.1995;NULL;285.40;289.72
1363438;13634383;100;BS  ;Y ;2.3.1993;NULL;154.44;95.30
1363070;13630703;500;MM  ;Y ;8.10.1995;NULL;819.37;844.28
1362826;13628263;100;BS  ;Y ;23.10.1995;NULL;138.57;425.08
1363253;13632533;500;MM  ;N ;9.4.1992;1.11.1995;1241.42;1701.18
1363295;13632953;100;BS  ;Y ;3.5.1989;NULL;130.66;222.18
1362641;13626413;100;BS  ;N ;28.11.1988;6.12.1995;139.95;141.92
1362805;13628053;100;BS  ;Y ;3.1.1987;NULL;124.10;232.15
1362498;13624983;100;BS  ;Y ;15.9.1995;NULL;2273.51;2307.85
1363457;13634573;100;BS  ;Y ;23.4.1988;NULL;1415.45;3028.72
1363354;13633543;100;BS  ;Y ;28.7.1995;NULL;148.91;1116.71
1362580;13625803;100;BS  ;Y ;12.10.1992;NULL;468.82;163.39
1362742;13627423;100;BS  ;Y ;19.9.1992;NULL;123.32;844.14
1362702;13627023;500;MM  ;Y ;17.3.1990;NULL;698.68;12.53
1362925;13629253;500;MM  ;Y ;14.3.1993;NULL;592.32;1770.46
1362681;13626813;100;BS  ;Y ;25.5.1995;NULL;3232.61;3629.45
1363394;13633943;100;BS  ;Y ;12.6.1987;NULL;2238.98;2270.28
1363150;13631503;100;BS  ;Y ;9.9.1991;NULL;234.29;370.22
1362782;13627823;100;BS  ;Y ;6.2.1994;NULL;150.85;268.13
1363272;13632723;100;BS  ;Y ;10.7.1995;NULL;165.83;711.81
1363251;13632513;500;MM  ;Y ;11.9.1994;NULL;5003.60;5059.46
1362864;13628643;100;BS  ;Y ;7.3.1995;NULL;173.89;176.53
1363047;13630473;100;BS  ;N ;19.8.1992;2.9.1995;142.02;417.52
1363333;13633333;500;MM  ;Y ;28.7.1993;NULL;685.35;1896.20
1363108;13631083;100;BS  ;Y ;22.7.1993;NULL;220.08;360.12
1362721;13627213;100;BS  ;Y ;25.3.1994;NULL;167.33;48.22
1362904;13629043;100;BS  ;Y ;16.6.1992;NULL;198.90;201.90
1362986;13629863;500;MM  ;Y ;13.6.1995;NULL;1161.47;434.43
1362496;13624963;100;BS  ;Y ;7.12.1994;NULL;247.34;251.06
1363455;13634553;100;BS  ;Y ;8.8.1995;NULL;251.82;254.90
1362761;13627613;500;MM  ;Y ;28.3.1994;NULL;775.55;490.67
1362578;13625783;100;BS  ;Y ;11.7.1993;NULL;253.59;862.43
1362822;13628223;100;BS  ;Y ;13.11.1994;NULL;160.93;523.43
1362843;13628433;100;BS  ;Y ;2.8.1986;NULL;282.11;224.72
1363352;13633523;100;BS  ;Y ;24.8.1992;NULL;2039.40;2950.23
1362700;13627003;100;BS  ;Y ;22.2.1994;NULL;311.20;315.88
1363209;13632093;100;BS  ;N ;3.2.1986;29.8.1995;264.69;1813.90
1363169;13631693;100;BS  ;Y ;10.7.1991;NULL;151.54;153.82
1363270;13632703;500;MM  ;Y ;17.12.1995;NULL;549.07;380.05
1363434;13634343;100;BS  ;N ;27.6.1991;2.1.1995;328.82;2728.02
1362658;13626583;100;BS  ;Y ;21.2.1991;NULL;235.06;238.62
1362557;13625573;500;MM  ;Y ;9.10.1995;NULL;697.92;68.86
1363127;13631273;100;BS  ;Y ;13.2.1995;NULL;122.21;124.01
1363495;13634953;100;BS  ;Y ;16.11.1994;NULL;2321.90;2783.16
1363392;13633923;100;BS  ;Y ;8.11.1993;NULL;109.05;241.59
1363291;13632913;100;BS  ;Y ;8.2.1995;NULL;274.62;653.58
1362637;13626373;100;BS  ;Y ;11.6.1991;NULL;347.66;44.79
1362883;13628833;500;MM  ;Y ;3.2.1994;NULL;702.27;149.74
1363371;13633713;500;MM  ;Y ;22.5.1993;NULL;726.33;87.77
1362740;13627403;100;BS  ;N ;15.2.1994;12.8.1995;118.82;119.87
1363228;13632283;100;BS  ;Y ;26.6.1995;NULL;310.44;1538.46
1363474;13634743;500;MM  ;Y ;12.5.1990;NULL;5095.53;4622.61
1363268;13632683;100;BS  ;Y ;25.6.1989;NULL;498.64;180.08
1363331;13633313;500;MM  ;Y ;6.6.1991;NULL;905.15;743.04
1362656;13626563;100;BS  ;Y ;11.7.1993;NULL;121.00;367.80
1362902;13629023;100;BS  ;Y ;11.11.1990;NULL;184.90;1554.71
1363390;13633903;100;BS  ;Y ;18.10.1995;NULL;253.08;740.57
1362698;13626983;100;BS  ;N ;4.9.1994;12.3.1995;499.93;3110.27
1362513;13625133;100;BS  ;Y ;14.10.1994;NULL;389.39;352.05
1363167;13631673;500;MM  ;Y ;17.4.1987;NULL;1256.54;1296.40
1362982;13629823;100;BS  ;Y ;14.11.1989;NULL;2167.79;3313.65
1362759;13627593;100;BS  ;Y ;5.9.1990;NULL;214.89;79.52
1363247;13632473;100;BS  ;Y ;20.7.1992;NULL;278.43;339.33
1362555;13625553;100;BS  ;Y ;14.5.1993;NULL;411.52;260.59
1362839;13628393;100;BS  ;Y ;1.6.1992;NULL;4386.32;3420.03
1363493;13634933;100;BS  ;N ;8.6.1993;19.7.1995;331.18;553.61
1363083;13630833;500;MM  ;Y ;12.2.1992;NULL;5830.18;6325.98
1362881;13628813;100;BS  ;Y ;11.9.1995;NULL;302.02;61.50
1362675;13626753;100;BS  ;Y ;10.6.1994;NULL;200.89;274.78
1363064;13630643;100;BS  ;Y ;9.6.1995;NULL;220.97;1103.03
1362940;13629403;100;BS  ;Y ;22.9.1993;NULL;165.68;778.84
1362860;13628603;100;BS  ;Y ;9.5.1994;NULL;2235.91;2100.68
1362858;13628583;500;MM  ;Y ;16.12.1994;NULL;1561.41;592.84
1362717;13627173;100;BS  ;Y ;16.11.1994;NULL;184.03;186.79
1362654;13626543;500;MM  ;Y ;17.10.1992;NULL;784.53;622.46
1363043;13630433;500;MM  ;Y ;31.12.1994;NULL;522.81;1379.43
1362511;13625113;100;BS  ;Y ;29.4.1993;NULL;282.90;748.73
1363308;13633083;100;BS  ;Y ;10.8.1994;NULL;374.47;1585.57
1362980;13629803;100;BS  ;Y ;23.12.1995;NULL;232.00;310.32
1363165;13631653;100;BS  ;Y ;26.10.1990;NULL;273.67;57.08
1362837;13628373;100;BS  ;Y ;13.6.1995;NULL;169.90;545.76
1363022;13630223;100;BS  ;Y ;16.1.1995;NULL;137.96;140.00
1363306;13633063;500;MM  ;Y ;28.5.1995;NULL;698.96;1193.26
1363491;13634913;100;BS  ;N ;22.10.1990;19.4.1995;205.45;17.82
1363142;13631423;100;BS  ;Y ;15.3.1995;NULL;398.62;404.63
1362614;13626143;100;BS  ;Y ;16.11.1995;NULL;140.65;1534.73
1362530;13625303;100;BS  ;Y ;13.12.1991;NULL;569.85;900.52
1362879;13628793;100;BS  ;Y ;18.6.1995;NULL;326.33;856.61
1363468;13634683;100;BS  ;Y ;28.7.1995;NULL;273.99;927.28
1363348;13633483;100;BS  ;Y ;24.8.1993;NULL;434.62;1628.76
1363264;13632643;100;BS  ;Y ;24.3.1994;NULL;2095.37;369.44
1362736;13627363;100;BS  ;Y ;2.6.1994;NULL;2147.68;2180.10
1363121;13631213;100;BS  ;Y ;8.4.1992;NULL;120.94;122.74
1363205;13632053;100;BS  ;N ;28.1.1994;22.12.1995;119.55;1240.58
1362713;13627133;100;BS  ;Y ;4.9.1995;NULL;461.24;468.20
1363327;13633273;100;BS  ;Y ;2.4.1995;NULL;278.05;401.43
1362509;13625093;100;BS  ;N ;17.5.1993;7.8.1995;147.84;337.82
1362919;13629193;100;BS  ;Y ;1.11.1995;NULL;313.92;318.66
1362978;13629783;100;BS  ;Y ;13.6.1994;NULL;238.16;28.91
1362715;13627153;100;BS  ;Y ;11.11.1989;NULL;110.12;195.07
1363447;13634473;100;BS  ;Y ;15.6.1995;NULL;185.85;671.09
1362572;13625723;100;BS  ;Y ;17.11.1993;NULL;202.51;432.85
1362570;13625703;100;BS  ;Y ;31.10.1995;NULL;171.55;174.16
1362633;13626333;100;BS  ;Y ;23.10.1992;NULL;123.78;57.34
1362835;13628353;100;BS  ;Y ;31.3.1989;NULL;2030.24;2060.90
1363081;13630813;100;BS  ;Y ;6.8.1994;NULL;323.49;765.22
1362549;13625493;100;BS  ;Y ;22.3.1993;NULL;312.39;1039.96
1362877;13628773;100;BS  ;Y ;16.3.1993;NULL;311.74;629.45
1363018;13630183;500;MM  ;Y ;28.10.1994;NULL;11793.93;9387.66
1363346;13633463;100;BS  ;Y ;27.2.1992;NULL;327.16;332.08
1363283;13632833;100;BS  ;Y ;18.4.1995;NULL;166.05;2.74
1362734;13627343;100;BS  ;N ;20.8.1993;29.8.1995;434.71;438.53
1362875;13628753;100;BS  ;Y ;7.7.1993;NULL;128.91;449.66
1363203;13632033;500;MM  ;Y ;23.6.1995;NULL;2704.88;3216.39
1362671;13626713;100;BS  ;Y ;26.5.1995;NULL;153.64;83.19
1363060;13630603;100;BS  ;Y ;3.11.1990;NULL;675.99;1441.88
1363140;13631403;100;BS  ;Y ;5.1.1995;NULL;106.46;896.45
1363182;13631823;500;MM  ;Y ;28.11.1995;NULL;3136.49;753.69
1362528;13625283;100;BS  ;Y ;13.1.1986;NULL;262.55;269.93
1363243;13632433;100;BS  ;N ;21.5.1991;6.8.1995;310.62;760.10
1362997;13629973;100;BS  ;Y ;12.5.1995;NULL;198.95;201.95
1362631;13626313;100;BS  ;Y ;17.6.1991;NULL;525.37;533.30
1363466;13634663;500;MM  ;Y ;27.11.1989;NULL;542.05;1100.90
1363344;13633443;100;BS  ;Y ;20.12.1995;NULL;108.33;253.92
1362589;13625893;100;BS  ;Y ;14.4.1994;NULL;218.78;833.68
1362936;13629363;500;MM  ;Y ;15.2.1995;NULL;746.54;792.11
1362711;13627113;100;BS  ;Y ;12.3.1992;NULL;223.60;38.87
1363201;13632013;100;BS  ;Y ;22.6.1995;NULL;100.24;74.54
1363180;13631803;500;MM  ;Y ;26.6.1995;NULL;766.58;405.61
1362793;13627933;500;MM  ;Y ;11.10.1994;NULL;966.32;404.56
1362976;13629763;100;BS  ;Y ;3.11.1986;NULL;203.20;137.99
1363262;13632623;500;MM  ;Y ;15.7.1994;NULL;1919.95;6027.35
1363445;13634453;500;MM  ;Y ;24.6.1987;NULL;742.28;552.01
1362650;13626503;100;BS  ;Y ;5.4.1995;NULL;155.66;149.20
1362568;13625683;100;BS  ;Y ;10.1.1995;NULL;284.16;386.20
1363384;13633843;100;BS  ;Y ;11.4.1992;NULL;823.50;3419.28
1363037;13630373;100;BS  ;Y ;1.4.1992;NULL;310.41;2054.92
1363241;13632413;100;BS  ;Y ;27.12.1989;NULL;273.49;1649.80
1362894;13628943;500;MM  ;Y ;3.2.1990;NULL;2013.26;360.28
1362486;13624863;100;BS  ;Y ;13.7.1989;NULL;284.48;116.24
1362690;13626903;100;BS  ;N ;28.2.1994;29.10.1995;259.26;111.34
1362955;13629553;100;BS  ;Y ;19.7.1995;NULL;162.27;627.76
1363485;13634853;100;BS  ;Y ;13.11.1995;NULL;155.40;157.76
1362669;13626693;100;BS  ;Y ;5.12.1990;NULL;173.96;1693.81
1363342;13633423;100;BS  ;Y ;17.4.1993;NULL;280.35;57.96
1363403;13634033;500;MM  ;Y ;28.10.1995;NULL;1165.12;1590.22
1363138;13631383;100;BS  ;Y ;17.2.1993;NULL;268.30;1293.45
1362526;13625263;100;BS  ;Y ;15.3.1994;NULL;551.82;1145.74
1363199;13631993;100;BS  ;Y ;2.3.1994;NULL;118.45;251.39
1362791;13627913;100;BS  ;Y ;24.2.1994;NULL;158.15;492.11
1362995;13629953;100;BS  ;Y ;18.8.1989;NULL;473.67;2978.58
1363117;13631173;100;BS  ;Y ;25.12.1989;NULL;292.92;297.36
1362587;13625873;500;MM  ;Y ;31.1.1995;NULL;628.68;1596.17
1363382;13633823;100;BS  ;Y ;11.8.1994;NULL;108.39;272.05
1363321;13633213;100;BS  ;Y ;23.7.1994;NULL;172.70;1009.61
1362505;13625053;100;BS  ;N ;12.6.1992;4.11.1995;310.45;205.68
1362709;13627093;100;BS  ;Y ;8.9.1995;NULL;134.28;917.33
1363361;13633613;100;BS  ;N ;7.9.1992;4.6.1995;195.18;172.80
1363035;13630353;500;MM  ;Y ;13.1.1995;NULL;734.38;756.72
1362484;13624843;100;BS  ;Y ;2.1.1993;NULL;194.76;2122.17
1362749;13627493;100;BS  ;N ;8.3.1993;17.9.1995;147.15;136.05
1363422;13634223;100;BS  ;N ;1.12.1993;5.2.1995;423.51;14.34
1363014;13630143;100;BS  ;Y ;10.7.1995;NULL;171.98;174.61
1362810;13628103;100;BS  ;Y ;25.12.1993;NULL;183.59;731.50
1363197;13631973;100;BS  ;Y ;10.10.1993;NULL;100.91;347.20
1362932;13629323;500;MM  ;Y ;1.3.1994;NULL;744.52;523.84
1363462;13634623;100;BS  ;Y ;22.10.1991;NULL;299.07;2034.99
1362524;13625243;100;BS  ;Y ;18.7.1988;NULL;147.65;619.05
1362850;13628503;100;BS  ;Y ;29.7.1991;NULL;118.45;120.25
1362993;13629933;100;BS  ;Y ;6.3.1995;NULL;147.68;435.70
1363176;13631763;100;BS  ;Y ;29.11.1994;NULL;175.29;128.07
1363258;13632583;500;MM  ;Y ;18.10.1994;NULL;776.38;845.68
1362890;13628903;100;BS  ;N ;23.5.1990;18.1.1995;104.78;104.78
1362972;13629723;100;BS  ;Y ;28.2.1992;NULL;493.93;680.94
1363216;13632163;100;BS  ;Y ;13.8.1995;NULL;136.52;105.54
1363441;13634413;100;BS  ;N ;5.8.1986;23.8.1995;118.53;581.29
1363012;13630123;100;BS  ;Y ;8.5.1995;NULL;474.60;481.77
1363237;13632373;100;BS  ;Y ;9.8.1995;NULL;745.49;756.74
1363481;13634813;100;BS  ;Y ;12.7.1994;NULL;155.93;1606.92
1362829;13628293;100;BS  ;Y ;12.12.1995;NULL;669.51;2510.16
1362604;13626043;100;BS  ;Y ;26.6.1995;NULL;232.26;233.76
1362686;13626863;100;BS  ;Y ;6.3.1995;NULL;147.46;162.53
1363338;13633383;100;BS  ;Y ;22.6.1993;NULL;293.58;675.18
1362665;13626653;100;BS  ;Y ;5.10.1992;NULL;2237.75;2144.37
1362930;13629303;100;BS  ;Y ;28.7.1993;NULL;204.40;800.42
1362991;13629913;100;BS  ;Y ;16.12.1991;NULL;154.65;369.81
1363195;13631953;100;BS  ;Y ;24.9.1993;NULL;291.56;764.77
1362848;13628483;500;MM  ;Y ;7.8.1990;NULL;5265.17;4844.42
1363317;13633173;100;BS  ;Y ;26.12.1988;NULL;183.77;186.53
1362644;13626443;100;BS  ;Y ;10.6.1995;NULL;130.48;132.42
1362909;13629093;100;BS  ;Y ;30.5.1993;NULL;1132.28;1149.38
1363113;13631133;500;MM  ;Y ;5.12.1995;NULL;1205.12;1241.78
1362766;13627663;100;BS  ;Y ;29.11.1990;NULL;11352.93;22432.78
1362705;13627053;100;BS  ;Y ;2.12.1995;NULL;221.12;1415.16
1362623;13626233;100;BS  ;Y ;26.3.1995;NULL;139.52;140.14
1362970;13629703;100;BS  ;Y ;8.7.1995;NULL;273.94;278.07
1362480;13624803;100;BS  ;Y ;23.12.1992;NULL;707.09;1187.97
1362562;13625623;100;BS  ;Y ;23.6.1995;NULL;391.96;3864.77
1362602;13626023;500;MM  ;Y ;29.1.1995;NULL;1269.70;2735.30
1362827;13628273;500;MM  ;Y ;3.2.1993;NULL;560.98;306.35
1363071;13630713;100;BS  ;N ;15.8.1994;10.7.1995;2167.05;1083.77
1363296;13632963;100;BS  ;Y ;28.6.1991;NULL;2285.95;2505.34
1363336;13633363;100;BS  ;Y ;10.1.1993;NULL;241.37;126.05
1363092;13630923;100;BS  ;Y ;28.7.1995;NULL;257.16;397.29
1363193;13631933;100;BS  ;Y ;19.10.1992;NULL;282.76;598.57
1362949;13629493;100;BS  ;Y ;3.8.1994;NULL;102.63;389.24
1362785;13627853;100;BS  ;Y ;25.6.1993;NULL;349.70;337.90
1363010;13630103;100;BS  ;Y ;9.9.1992;NULL;226.58;883.63
1362642;13626423;100;BS  ;Y ;25.9.1994;NULL;180.22;91.21
1362806;13628063;500;MM  ;Y ;10.12.1995;NULL;1430.22;284.58
1363376;13633763;100;BS  ;Y ;14.2.1995;NULL;344.08;1345.44
1363458;13634583;100;BS  ;Y ;6.1.1992;NULL;215.86;160.66
1363233;13632333;100;BS  ;N ;28.9.1993;25.4.1995;453.28;161.69
1363254;13632543;100;BS  ;N ;4.12.1993;28.8.1995;2001.91;2019.49
1363029;13630293;100;BS  ;Y ;16.11.1989;NULL;244.25;304.93
1362703;13627033;500;MM  ;Y ;10.4.1992;NULL;7144.42;7144.39
1362621;13626213;500;MM  ;Y ;1.3.1994;NULL;727.98;1498.40
1362968;13629683;500;MM  ;Y ;30.8.1994;NULL;795.43;510.19
1363090;13630903;100;BS  ;Y ;20.10.1995;NULL;156.33;158.73
1362825;13628253;100;BS  ;Y ;18.5.1994;NULL;175.22;50.77
1363355;13633553;100;BS  ;Y ;7.3.1995;NULL;2062.29;2229.96
1363294;13632943;500;MM  ;Y ;6.6.1994;NULL;741.25;763.80
1362743;13627433;100;BS  ;Y ;13.2.1995;NULL;2205.14;2885.15
1362682;13626823;100;BS  ;Y ;1.4.1995;NULL;240.19;243.79
1362804;13628043;100;BS  ;Y ;9.11.1987;NULL;445.15;450.37
1363008;13630083;500;MM  ;Y ;29.12.1992;NULL;9066.08;9341.84
1363334;13633343;100;BS  ;Y ;28.1.1995;NULL;259.30;478.96
1363130;13631303;100;BS  ;Y ;22.6.1994;NULL;122.54;68.70
1362661;13626613;500;MM  ;Y ;2.11.1995;NULL;818.48;2226.62
1362722;13627223;100;BS  ;Y ;30.10.1995;NULL;257.31;261.18
1362926;13629263;100;BS  ;Y ;3.11.1990;NULL;131.22;1230.28
1362844;13628443;100;BS  ;Y ;17.8.1994;NULL;142.75;1493.41
1363395;13633953;100;BS  ;Y ;26.1.1987;NULL;134.14;136.18
1362701;13627013;100;BS  ;Y ;3.6.1995;NULL;204.92;1805.16
1362783;13627833;100;BS  ;Y ;6.6.1987;NULL;276.90;699.58
1362823;13628233;100;BS  ;Y ;8.6.1992;NULL;428.17;491.88
1363252;13632523;100;BS  ;Y ;3.2.1995;NULL;179.27;181.99
1362537;13625373;100;BS  ;Y ;25.3.1990;NULL;121.43;1603.69
1362640;13626403;500;MM  ;Y ;8.6.1994;NULL;573.39;1698.93
1363006;13630063;100;BS  ;Y ;20.11.1994;NULL;242.01;245.66
1362905;13629053;500;MM  ;Y ;30.5.1991;NULL;522.29;688.98
1363128;13631283;100;BS  ;Y ;27.4.1994;NULL;2178.79;2211.69
1363374;13633743;500;MM  ;Y ;10.8.1995;NULL;583.39;601.14
1362720;13627203;500;MM  ;Y ;18.10.1993;NULL;653.94;1497.85
1362497;13624973;500;MM  ;Y ;10.6.1992;NULL;572.95;10.86
1362985;13629853;500;MM  ;Y ;22.1.1995;NULL;790.76;1967.70
1362966;13629663;100;BS  ;Y ;17.10.1993;NULL;174.49;124.13
1363454;13634543;100;BS  ;Y ;10.8.1990;NULL;253.30;782.26
1362619;13626193;500;MM  ;Y ;27.4.1993;NULL;1099.65;1133.10
1363046;13630463;100;BS  ;Y ;12.5.1995;NULL;204.24;561.55
1363088;13630883;100;BS  ;Y ;21.1.1991;NULL;430.47;1426.10
1363311;13633113;100;BS  ;Y ;7.3.1995;NULL;636.72;299.67
1363353;13633533;100;BS  ;N ;23.6.1989;13.4.1995;264.84;1663.95
1362903;13629033;100;BS  ;Y ;2.10.1995;NULL;3317.38;3704.80
1362945;13629453;500;MM  ;N ;16.9.1991;4.7.1995;568.54;1804.89
1363168;13631683;100;BS  ;Y ;10.2.1995;NULL;1210.75;2333.47
1363414;13634143;500;MM  ;Y ;23.9.1992;NULL;991.56;1411.05
1362556;13625563;100;BS  ;Y ;21.1.1989;NULL;519.43;439.42
1363210;13632103;100;BS  ;Y ;4.8.1995;NULL;112.25;52.26
1363025;13630253;500;MM  ;N ;30.8.1990;4.3.1995;711.18;3136.90
1363271;13632713;100;BS  ;Y ;25.4.1994;NULL;284.06;678.94
1363290;13632903;100;BS  ;Y ;9.8.1995;NULL;2229.39;2594.47
1363067;13630673;100;BS  ;Y ;25.11.1993;NULL;284.01;288.33
1363351;13633513;100;BS  ;N ;25.4.1991;1.5.1995;212.73;213.81
1362659;13626593;500;MM  ;Y ;23.5.1995;NULL;575.93;315.94
1363147;13631473;100;BS  ;Y ;13.11.1987;NULL;2178.01;1152.38
1362924;13629243;500;MM  ;Y ;8.3.1994;NULL;5131.67;5287.76
1363208;13632083;100;BS  ;Y ;14.8.1995;NULL;150.23;1094.05
1362781;13627813;500;MM  ;Y ;20.7.1995;NULL;961.57;2797.34
1363004;13630043;100;BS  ;Y ;17.6.1993;NULL;167.29;169.81
1362964;13629643;100;BS  ;N ;3.6.1987;13.7.1995;118.49;119.39
1362596;13625963;500;MM  ;Y ;16.7.1995;NULL;544.45;259.05
1363229;13632293;500;MM  ;Y ;17.8.1995;NULL;541.97;536.08
1362718;13627183;500;MM  ;Y ;29.12.1994;NULL;1861.61;1918.23
1362617;13626173;100;BS  ;Y ;18.5.1995;NULL;135.98;138.02
1363187;13631873;100;BS  ;Y ;21.5.1992;NULL;330.70;335.70
1363086;13630863;100;BS  ;Y ;12.3.1994;NULL;192.71;1196.95
1363452;13634523;100;BS  ;Y ;28.12.1995;NULL;2423.96;1874.79
